file,line_no,line_text
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase2_run_stdout.log,5,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase2_run_stdout.log,6371,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase2_run_stdout.log,8629,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,4,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,10,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,14,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,18,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,23,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,27,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,31,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,35,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
/Users/lopezama/PycharmProjects/sci-cluster/review_outputs/rmelts_rootcause_matmul/_tmp_phase2_logs/phase3_run_stdout.log,39,"/Users/lopezama/PycharmProjects/sci-cluster/.venv/lib/python3.14/site-packages/thermoengine/equilibrate.py:2166: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)"
